ID,Neutral,Positive,Negative,Total,Difference,P_N ratio,Difference ratio,Decile
4301297,85.0,20.0,6.0,111.0,14.0,3.33333,0.12613,4
4259542,78.0,3.0,32.0,113.0,-29.0,0.09375,-0.25664,1
4365457,94.0,12.0,43.0,149.0,-31.0,0.27907,-0.20805,1
4465684,97.0,15.0,27.0,139.0,-12.0,0.55556,-0.08633,2
4445685,85.0,45.0,6.0,136.0,39.0,7.5,0.28676,7
4345225,66.0,34.0,14.0,114.0,20.0,2.42857,0.17544,5
4507504,74.0,37.0,10.0,121.0,27.0,3.7,0.22314,6
4322235,81.0,21.0,4.0,106.0,17.0,5.25,0.16038,4
4298308,76.0,28.0,3.0,107.0,25.0,9.33333,0.23364,6
4382256,50.0,12.0,22.0,84.0,-10.0,0.54545,-0.11905,2
4319918,46.0,15.0,7.0,68.0,8.0,2.14286,0.11765,3
4442247,53.0,31.0,10.0,94.0,21.0,3.1,0.2234,6
4341151,35.0,23.0,7.0,65.0,16.0,3.28571,0.24615,6
4401426,56.0,5.0,12.0,73.0,-7.0,0.41667,-0.09589,2
4277221,70.0,31.0,10.0,111.0,21.0,3.1,0.18919,5
4256364,44.0,19.0,1.0,64.0,18.0,19.0,0.28125,7
4481827,62.0,5.0,24.0,91.0,-19.0,0.20833,-0.20879,1
4422151,57.0,6.0,35.0,98.0,-29.0,0.17143,-0.29592,1
4362036,47.0,16.0,4.0,67.0,12.0,4.0,0.1791,5
4504066,49.0,9.0,26.0,84.0,-17.0,0.34615,-0.20238,1
4462561,55.0,12.0,8.0,75.0,4.0,1.5,0.05333,3
4489120,72.0,22.0,5.0,99.0,17.0,4.4,0.17172,5
4385472,63.0,17.0,4.0,84.0,13.0,4.25,0.15476,4
4259327,92.0,21.0,2.0,115.0,19.0,10.5,0.16522,4
4409165,74.0,17.0,0.0,91.0,17.0,inf,0.18681,5
4344390,67.0,20.0,2.0,89.0,18.0,10.0,0.20225,5
4327863,109.0,26.0,5.0,140.0,21.0,5.2,0.15,4
4301237,72.0,13.0,4.0,89.0,9.0,3.25,0.10112,3
4465554,66.0,19.0,0.0,85.0,19.0,inf,0.22353,6
4280353,70.0,13.0,1.0,84.0,12.0,13.0,0.14286,4
4507511,61.0,23.0,3.0,87.0,20.0,7.66667,0.22989,6
4445649,61.0,17.0,2.0,80.0,15.0,8.5,0.1875,5
4425298,87.0,24.0,8.0,119.0,16.0,3.0,0.13445,4
4362586,100.0,24.0,1.0,125.0,23.0,24.0,0.184,5
4280302,33.0,16.0,5.0,54.0,11.0,3.2,0.2037,5
4404642,48.0,16.0,10.0,74.0,6.0,1.6,0.08108,3
4320243,31.0,6.0,14.0,51.0,-8.0,0.42857,-0.15686,2
4506222,56.0,20.0,8.0,84.0,12.0,2.5,0.14286,4
4444437,60.0,35.0,12.0,107.0,23.0,2.91667,0.21495,6
4464480,56.0,41.0,3.0,100.0,38.0,13.66667,0.38,9
4259091,37.0,28.0,4.0,69.0,24.0,7.0,0.34783,9
4485181,47.0,13.0,7.0,67.0,6.0,1.85714,0.08955,3
4382897,57.0,8.0,22.0,87.0,-14.0,0.36364,-0.16092,2
4362471,58.0,35.0,6.0,99.0,29.0,5.83333,0.29293,7
4343142,30.0,27.0,5.0,62.0,22.0,5.4,0.35484,9
4424183,45.0,10.0,19.0,74.0,-9.0,0.52632,-0.12162,2
4301016,60.0,22.0,5.0,87.0,17.0,4.4,0.1954,5
4464220,79.0,25.0,1.0,105.0,24.0,25.0,0.22857,6
4257240,58.0,19.0,9.0,86.0,10.0,2.11111,0.11628,3
4483301,49.0,23.0,1.0,73.0,22.0,23.0,0.30137,8
4444517,58.0,32.0,1.0,91.0,31.0,32.0,0.34066,8
4279130,92.0,3.0,24.0,119.0,-21.0,0.125,-0.17647,2
4341810,78.0,24.0,5.0,107.0,19.0,4.8,0.17757,5
4424180,45.0,29.0,1.0,75.0,28.0,29.0,0.37333,9
4506333,65.0,37.0,4.0,106.0,33.0,9.25,0.31132,8
4402871,70.0,34.0,3.0,107.0,31.0,11.33333,0.28972,7
4299282,64.0,21.0,3.0,88.0,18.0,7.0,0.20455,5
4381867,53.0,28.0,4.0,85.0,24.0,7.0,0.28235,7
4361531,78.0,36.0,8.0,122.0,28.0,4.5,0.22951,6
4320358,74.0,49.0,11.0,134.0,38.0,4.45455,0.28358,7
4403092,46.0,8.0,0.0,54.0,8.0,inf,0.14815,4
4297987,57.0,3.0,1.0,61.0,2.0,3.0,0.03279,3
4380354,47.0,17.0,1.0,65.0,16.0,17.0,0.24615,6
4506294,51.0,16.0,1.0,68.0,15.0,16.0,0.22059,6
4420630,41.0,20.0,1.0,62.0,19.0,20.0,0.30645,8
4276771,59.0,19.0,1.0,79.0,18.0,19.0,0.22785,6
4339217,55.0,10.0,2.0,67.0,8.0,5.0,0.1194,3
4484013,38.0,9.0,0.0,47.0,9.0,inf,0.19149,5
4440691,48.0,3.0,9.0,60.0,-6.0,0.33333,-0.1,2
4460864,44.0,11.0,0.0,55.0,11.0,inf,0.2,5
4320335,45.0,12.0,1.0,58.0,11.0,12.0,0.18966,5
4256407,60.0,37.0,4.0,101.0,33.0,9.25,0.32673,8
4360028,70.0,15.0,7.0,92.0,8.0,2.14286,0.08696,3
4360000,69.0,17.0,56.0,142.0,-39.0,0.30357,-0.27465,1
4380445,50.0,70.0,12.0,132.0,58.0,5.83333,0.43939,10
4256480,45.0,11.0,33.0,89.0,-22.0,0.33333,-0.24719,1
4422177,33.0,7.0,37.0,77.0,-30.0,0.18919,-0.38961,1
4442263,41.0,40.0,10.0,91.0,30.0,4.0,0.32967,8
4298452,51.0,57.0,21.0,129.0,36.0,2.71429,0.27907,7
4339267,51.0,16.0,39.0,106.0,-23.0,0.41026,-0.21698,1
4401475,32.0,25.0,3.0,60.0,22.0,8.33333,0.36667,9
4504249,29.0,27.0,2.0,58.0,25.0,13.5,0.43103,10
4277272,48.0,14.0,53.0,115.0,-39.0,0.26415,-0.33913,1
4462674,33.0,10.0,33.0,76.0,-23.0,0.30303,-0.30263,1
4318476,85.0,63.0,20.0,168.0,43.0,3.15,0.25595,7
4481900,53.0,7.0,46.0,106.0,-39.0,0.15217,-0.36792,1
4380016,39.0,13.0,35.0,87.0,-22.0,0.37143,-0.25287,1
4275802,76.0,36.0,10.0,122.0,26.0,3.6,0.21311,5
4440211,47.0,17.0,4.0,68.0,13.0,4.25,0.19118,5
4338986,54.0,14.0,15.0,83.0,-1.0,0.93333,-0.01205,3
4255339,66.0,30.0,15.0,111.0,15.0,2.0,0.13514,4
4359967,69.0,19.0,8.0,96.0,11.0,2.375,0.11458,3
4482117,43.0,6.0,19.0,68.0,-13.0,0.31579,-0.19118,2
4460661,55.0,18.0,18.0,91.0,0.0,1.0,0.0,3
4420120,39.0,20.0,8.0,67.0,12.0,2.5,0.1791,5
4502782,70.0,23.0,15.0,108.0,8.0,1.53333,0.07407,3
4297114,56.0,40.0,18.0,114.0,22.0,2.22222,0.19298,5
4320230,47.0,8.0,12.0,67.0,-4.0,0.66667,-0.0597,2
4401800,43.0,9.0,18.0,70.0,-9.0,0.5,-0.12857,2
4344408,68.0,13.0,10.0,91.0,3.0,1.3,0.03297,3
4382867,84.0,10.0,4.0,98.0,6.0,2.5,0.06122,3
4484183,83.0,26.0,5.0,114.0,21.0,5.2,0.18421,5
4322311,92.0,13.0,7.0,112.0,6.0,1.85714,0.05357,3
4403622,138.0,25.0,17.0,180.0,8.0,1.47059,0.04444,3
4256896,58.0,19.0,8.0,85.0,11.0,2.375,0.12941,4
4504793,92.0,33.0,18.0,143.0,15.0,1.83333,0.1049,3
4300206,117.0,20.0,9.0,146.0,11.0,2.22222,0.07534,3
4280462,64.0,9.0,15.0,88.0,-6.0,0.6,-0.06818,2
4362656,80.0,12.0,13.0,105.0,-1.0,0.92308,-0.00952,3
4442844,92.0,31.0,7.0,130.0,24.0,4.42857,0.18462,5
4422686,67.0,14.0,15.0,96.0,-1.0,0.93333,-0.01042,3
4463244,84.0,38.0,16.0,138.0,22.0,2.375,0.15942,4
4364491,54.0,7.0,24.0,85.0,-17.0,0.29167,-0.2,1
4304111,45.0,12.0,1.0,58.0,11.0,12.0,0.18966,5
4343419,63.0,4.0,2.0,69.0,2.0,2.0,0.02899,3
4510352,36.0,30.0,2.0,68.0,28.0,15.0,0.41176,10
4282384,39.0,6.0,9.0,54.0,-3.0,0.66667,-0.05556,2
4261746,45.0,5.0,1.0,51.0,4.0,5.0,0.07843,3
4468171,22.0,14.0,0.0,36.0,14.0,inf,0.38889,9
4448919,42.0,25.0,3.0,70.0,22.0,8.33333,0.31429,8
4388677,50.0,27.0,5.0,82.0,22.0,5.4,0.26829,7
4321460,52.0,27.0,4.0,83.0,23.0,6.75,0.27711,7
4428504,40.0,26.0,4.0,70.0,22.0,6.5,0.31429,8
4405540,68.0,28.0,3.0,99.0,25.0,9.33333,0.25253,6
4485680,48.0,17.0,1.0,66.0,16.0,17.0,0.24242,6
4513492,35.0,15.0,20.0,70.0,-5.0,0.75,-0.07143,2
4309563,54.0,21.0,12.0,87.0,9.0,1.75,0.10345,3
4430603,57.0,30.0,8.0,95.0,22.0,3.75,0.23158,6
4326389,72.0,29.0,12.0,113.0,17.0,2.41667,0.15044,4
4391579,56.0,35.0,6.0,97.0,29.0,5.83333,0.29897,7
4407581,55.0,37.0,2.0,94.0,35.0,18.5,0.37234,9
4450975,87.0,33.0,12.0,132.0,21.0,2.75,0.15909,4
4471852,44.0,16.0,6.0,66.0,10.0,2.66667,0.15152,4
4349674,37.0,21.0,7.0,65.0,14.0,3.0,0.21538,6
4370198,34.0,19.0,10.0,63.0,9.0,1.9,0.14286,4
4286285,67.0,19.0,7.0,93.0,12.0,2.71429,0.12903,4
4264995,60.0,10.0,17.0,87.0,-7.0,0.58824,-0.08046,2
4488444,30.0,9.0,2.0,41.0,7.0,4.5,0.17073,5
4277100,77.0,43.0,1.0,121.0,42.0,43.0,0.34711,9
4341126,74.0,31.0,6.0,111.0,25.0,5.16667,0.22523,6
4361923,76.0,46.0,10.0,132.0,36.0,4.6,0.27273,7
4401440,58.0,3.0,35.0,96.0,-32.0,0.08571,-0.33333,1
4440462,40.0,25.0,2.0,67.0,23.0,12.5,0.34328,8
4460861,54.0,6.0,41.0,101.0,-35.0,0.14634,-0.34653,1
4319822,88.0,8.0,52.0,148.0,-44.0,0.15385,-0.2973,1
4481776,92.0,45.0,3.0,140.0,42.0,15.0,0.3,7
4382208,105.0,40.0,6.0,151.0,34.0,6.66667,0.22517,6
4502425,62.0,63.0,2.0,127.0,61.0,31.5,0.48031,10
4420290,57.0,40.0,1.0,98.0,39.0,40.0,0.39796,9
4256341,69.0,36.0,2.0,107.0,34.0,18.0,0.31776,8
4298318,53.0,43.0,5.0,101.0,38.0,8.6,0.37624,9
4303164,55.0,34.0,3.0,92.0,31.0,11.33333,0.33696,8
4258525,60.0,3.0,32.0,95.0,-29.0,0.09375,-0.30526,1
4386054,57.0,31.0,9.0,97.0,22.0,3.44444,0.2268,6
4464939,28.0,14.0,3.0,45.0,11.0,4.66667,0.24444,6
4444915,53.0,6.0,25.0,84.0,-19.0,0.24,-0.22619,1
4343717,45.0,18.0,8.0,71.0,10.0,2.25,0.14085,4
4282687,60.0,51.0,4.0,115.0,47.0,12.75,0.4087,10
4506782,40.0,14.0,3.0,57.0,11.0,4.66667,0.19298,5
4364729,43.0,17.0,8.0,68.0,9.0,2.125,0.13235,4
4485499,51.0,24.0,1.0,76.0,23.0,24.0,0.30263,8
4406363,51.0,18.0,1.0,70.0,17.0,18.0,0.24286,6
4424124,53.0,35.0,5.0,93.0,30.0,7.0,0.32258,8
4323520,57.0,43.0,7.0,107.0,36.0,6.14286,0.33645,8
4256420,37.0,21.0,10.0,68.0,11.0,2.1,0.16176,4
4380418,41.0,24.0,8.0,73.0,16.0,3.0,0.21918,6
4341235,45.0,18.0,9.0,72.0,9.0,2.0,0.125,4
4319981,46.0,23.0,8.0,77.0,15.0,2.875,0.19481,5
4483736,46.0,6.0,12.0,64.0,-6.0,0.5,-0.09375,2
