ID,Neutral,Positive,Negative,Total,Difference,P_N ratio,Difference ratio,Decile
4465453,43.0,10.0,21.0,74.0,-11.0,0.47619,-0.14865,2
4484073,59.0,31.0,8.0,98.0,23.0,3.875,0.23469,6
4279647,79.0,27.0,14.0,120.0,13.0,1.92857,0.10833,3
4362514,81.0,14.0,36.0,131.0,-22.0,0.38889,-0.16794,1
4259294,65.0,27.0,22.0,114.0,5.0,1.22727,0.04386,3
4343167,53.0,19.0,8.0,80.0,11.0,2.375,0.1375,4
4403098,33.0,25.0,2.0,60.0,23.0,12.5,0.38333,9
4425130,43.0,28.0,6.0,77.0,22.0,4.66667,0.28571,7
4507516,57.0,25.0,10.0,92.0,15.0,2.5,0.16304,5
4277702,61.0,39.0,10.0,110.0,29.0,3.9,0.26364,7
4341573,88.0,22.0,4.0,114.0,18.0,5.5,0.15789,4
4502789,112.0,60.0,6.0,178.0,54.0,10.0,0.30337,7
4401834,94.0,23.0,5.0,122.0,18.0,4.6,0.14754,4
4257331,101.0,9.0,44.0,154.0,-35.0,0.20455,-0.22727,1
4461196,101.0,31.0,6.0,138.0,25.0,5.16667,0.18116,5
4380763,71.0,28.0,3.0,102.0,25.0,9.33333,0.2451,6
4318656,78.0,30.0,16.0,124.0,14.0,1.875,0.1129,3
4360357,134.0,48.0,19.0,201.0,29.0,2.52632,0.14428,4
4298807,81.0,36.0,6.0,123.0,30.0,6.0,0.2439,6
4440726,99.0,54.0,9.0,162.0,45.0,6.0,0.27778,7
4480643,74.0,4.0,21.0,99.0,-17.0,0.19048,-0.17172,1
4420728,81.0,23.0,6.0,110.0,17.0,3.83333,0.15455,4
4424708,55.0,34.0,9.0,98.0,25.0,3.77778,0.2551,6
4464952,37.0,11.0,4.0,52.0,7.0,2.75,0.13462,4
4301313,40.0,13.0,2.0,55.0,11.0,6.5,0.2,5
4444991,38.0,16.0,0.0,54.0,16.0,inf,0.2963,7
4364771,58.0,37.0,11.0,106.0,26.0,3.36364,0.24528,6
4506846,36.0,27.0,4.0,67.0,23.0,6.75,0.34328,8
