,id
721,4296896
722,4317146
723,4337821
724,4358922
725,4379093
726,4399784
727,4419320
728,4439232
729,4459959
730,4480393
731,4501918
732,4259542
733,4280435
734,4301297
735,4322235
736,4345225
737,4365457
738,4385540
739,4403612
740,4425288
741,4445685
742,4465684
743,4482281
744,4507504
745,4266080
746,4287408
747,4308327
748,4327872
749,4349419
750,4369947
751,4390428
752,4409114
753,4430264
754,4450712
755,4470593
756,4490147
757,4513199
758,4266167
759,4288738
760,4309259
761,4327809
762,4349382
763,4370651
764,4391354
765,4408986
766,4431679
767,4451543
768,4471522
769,4492758
770,4514086
771,4262053
772,4282179
773,4302664
774,4322134
775,4344394
776,4365530
777,4385531
778,4403452
779,4425183
780,4445472
781,4465531
782,4484045
783,4507399
784,4257240
785,4279130
786,4299282
787,4320358
788,4341810
789,4361531
790,4381867
791,4402871
792,4424180
793,4444517
794,4464220
795,4483301
796,4506333
808,4256407
809,4276771
810,4297987
811,4320335
812,4339217
813,4360028
814,4380354
815,4403092
816,4420630
817,4440691
818,4460864
819,4484013
820,4506294
833,4255002
834,4275572
835,4296861
836,4317441
837,4338042
838,4358685
839,4379483
840,4399984
841,4419494
842,4439385
843,4460641
844,4480173
845,4501965
846,4262316
847,4283040
848,4304159
849,4327624
850,4344463
851,4365599
852,4385586
853,4408829
854,4424825
855,4445184
856,4465237
857,4489699
858,4507095
859,4258193
860,4279616
861,4301783
862,4318375
863,4339191
864,4359960
865,4380316
866,4400257
867,4420351
868,4440435
869,4460906
870,4480639
871,4502438
872,4254752
873,4276063
874,4296600
875,4317087
876,4338041
877,4359137
878,4378855
879,4398979
880,4419244
881,4439214
882,4459701
883,4479724
884,4501204
885,4256820
886,4277762
887,4301026
888,4322044
889,4344298
890,4365423
891,4385391
892,4403600
893,4422634
894,4442090
895,4462516
896,4484518
897,4505227
898,4261067
899,4280287
900,4303312
901,4320601
902,4344965
903,4367569
904,4383332
905,4402791
906,4424186
907,4448793
908,4464963
909,4483225
910,4506393
911,4256000
912,4276696
913,4300231
914,4319538
915,4340682
916,4361426
917,4381794
918,4401087
919,4421718
920,4441793
921,4462073
922,4481474
923,4503755
924,4256352
925,4277098
926,4298371
927,4321673
928,4341088
929,4361900
930,4382185
931,4403077
932,4422053
933,4441818
934,4462469
935,4483617
936,4504028
949,4258760
950,4279931
951,4300659
952,4319983
953,4341254
954,4362135
955,4382239
956,4401476
957,4422214
958,4442245
959,4462645
960,4481923
961,4506382
962,4254585
963,4275049
964,4296661
965,4316889
966,4337832
967,4358497
968,4378936
969,4399281
970,4419289
971,4439227
972,4459923
973,4479735
974,4501550
987,4262153
988,4283362
989,4303830
990,4322069
991,4346259
992,4365261
993,4385352
994,4403836
995,4425166
996,4445441
997,4467443
998,4484024
999,4507323
1009,4256486
1010,4277207
1011,4298304
1012,4320648
1013,4340659
1014,4363061
1015,4381784
1016,4402107
1017,4422587
1018,4443206
1019,4462928
1020,4482560
1021,4504612
1022,4258632
1023,4277059
1024,4300485
1025,4321659
1026,4339179
1027,4361854
1028,4382188
1029,4403074
1030,4422071
1031,4442052
1032,4462488
1033,4483557
1034,4504021
1035,4259795
1036,4280903
1037,4301620
1038,4322446
1039,4342115
1040,4363227
1041,4383463
1042,4403947
1043,4423095
1044,4443260
1045,4463571
1046,4484554
1047,4505324
1048,4261502
1049,4280120
1050,4303216
1051,4327783
1052,4345784
1053,4363034
1054,4382933
1055,4408302
1056,4422545
1057,4442564
1058,4462932
1059,4490127
1060,4507475
1061,4255352
1062,4275809
1063,4297161
1064,4327929
1065,4341717
1066,4362565
1067,4380798
1068,4401841
1069,4420706
1070,4440800
1071,4461231
1072,4482225
1073,4502724
1083,4260254
1084,4279309
1085,4304803
1086,4321806
1087,4345680
1088,4365675
1089,4386760
1090,4404801
1091,4426089
1092,4445195
1093,4465203
1094,4485708
1095,4507049
1096,4255818
1097,4276569
1098,4297737
1099,4323690
1100,4338676
1101,4359506
1102,4379885
1103,4408091
1104,4421427
1105,4441526
1106,4461926
1107,4489188
1108,4503460
1109,4258634
1110,4279695
1111,4301313
1112,4322046
1113,4343784
1114,4364771
1115,4384160
1116,4404970
1117,4424708
1118,4444991
1119,4464952
1120,4485596
1121,4506846
